A000041,A000197,B000249,B000745,C000671,C000895,F000344,G000005,G000183,G000215,G000293,G000442,H000618,H000870,K000246,L000229,L000378,M000029,M000240,M000633,M000712,M000831,M000891,P000067,P000324,P000431,R000125,R000346,S000524,S000566,S000567,S000609,S001073,T000249,T000268,T000423,W000392,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,,Yea,,Yea,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,,Nay,Nay,Not Voting,Not Voting,Nay,Yea,1809-01-11,0,,unknown,,,,,unknown
,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,,Not Voting,,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,,Yea,Yea,Nay,Yea,Yea,Yea,1809-01-12,0,,unknown,,,,,unknown
,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,,Not Voting,,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,,Yea,Nay,Nay,Not Voting,Yea,Nay,1809-01-16,0,,unknown,,,,,unknown
,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Nay,1809-01-17,0,,unknown,,,,,unknown
,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Yea,1809-01-20,0,,unknown,,,,,unknown
,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,1809-01-20,0,,unknown,,,,,unknown
,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,1809-01-23,0,,unknown,,,,,unknown
,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,1809-01-26,0,,unknown,,,,,unknown
,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,,Not Voting,Yea,Nay,Nay,Nay,Nay,1809-02-02,0,,unknown,,,,,unknown
,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Nay,1809-02-11,0,,unknown,,,,,unknown
