B000226,B001186,C000185,D000013,D000324,E000147,E000155,F000100,F000313,G000403,G000526,H000368,H000508,I000053,J000182,J000198,K000212,L000067,L000201,M000031,M000858,M000985,P000102,R000091,S000154,S000805,S001009,W000059,W000633,date,isAmendment,requires,result,title
Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Nay,,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,1790-06-30,0,,unknown,s54
Nay,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,1790-07-01,0,,unknown,s55
Yea,Yea,Yea,Nay,,Nay,Yea,Nay,Nay,,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,1790-07-01,0,,unknown,s56
Nay,Yea,Yea,Yea,,Yea,Yea,Nay,Nay,,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,1790-07-14,0,,unknown,s57
Yea,Nay,Yea,Nay,,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,1790-07-14,0,,unknown,s58
Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,1790-07-14,0,,unknown,s59
Nay,Yea,Nay,Yea,,Nay,Nay,Nay,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,1790-07-14,0,,unknown,s60
Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,1790-07-16,0,,unknown,s61
Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,1790-07-19,0,,unknown,s62
Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1790-07-19,0,,unknown,s63
Nay,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1790-07-19,0,,unknown,s64
Nay,Yea,Nay,Nay,,Nay,Yea,Nay,Nay,,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1790-07-19,0,,unknown,s65
Yea,Nay,Nay,Nay,,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,1790-07-19,0,,unknown,s66
Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1790-07-19,0,,unknown,s67
Nay,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1790-07-19,0,,unknown,s68
Yea,Nay,Nay,Nay,,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,1790-07-20,0,,unknown,s69
Nay,Yea,Yea,Yea,,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,1790-07-21,0,,unknown,s70
Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1790-07-28,0,,unknown,s71
Yea,Nay,Yea,Nay,,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,1790-07-28,0,,unknown,s72
Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1790-07-28,0,,unknown,s73
Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,1790-07-28,0,,unknown,s74
Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,1790-07-28,0,,unknown,s75
Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Yea,,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Not Voting,,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,1790-07-28,0,,unknown,s76
Nay,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,1790-07-28,0,,unknown,s77
Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,1790-07-28,0,,unknown,s78
Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,1790-07-28,0,,unknown,s79
Not Voting,Yea,Nay,Nay,,Nay,Not Voting,Yea,Yea,,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,1790-08-09,0,,unknown,s80
