B000226,B000745,B000929,B001133,B001186,C000009,C000185,D000324,E000075,E000147,F000100,F000313,G000526,H000368,H000508,I000053,J000198,K000212,L000067,L000201,M000858,M000985,P000473,R000091,R000350,R000550,S000349,S000805,S001009,T000086,W000633,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Not Voting,Yea,,Nay,Not Voting,Yea,Nay,Not Voting,,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Not Voting,,Yea,1792-04-16,0,,unknown,,,,,unknown
Not Voting,Nay,,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Nay,Not Voting,Yea,Yea,Yea,,Nay,1792-04-17,0,,unknown,,,,,unknown
Not Voting,Nay,,Yea,Not Voting,Nay,Nay,Nay,,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Nay,,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Nay,1792-04-17,0,,unknown,,,,,unknown
Not Voting,Yea,,Yea,Not Voting,Nay,Nay,Nay,,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,,Nay,Nay,Not Voting,Nay,Nay,Nay,,Nay,1792-04-17,0,,unknown,,,,,unknown
Not Voting,Yea,,Not Voting,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,,Nay,1792-04-20,0,,unknown,,,,,unknown
Yea,Not Voting,,Yea,Not Voting,Yea,Yea,Nay,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,,Yea,1792-05-05,0,,unknown,,,,,unknown
Not Voting,Not Voting,,Not Voting,Not Voting,Yea,Yea,Yea,,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,,Yea,Nay,Not Voting,Nay,Nay,Not Voting,,Nay,1792-05-07,0,,unknown,,,,,unknown
Not Voting,Not Voting,,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,,Nay,1792-05-08,0,,unknown,,,,,unknown
Nay,Nay,Yea,Not Voting,Yea,Nay,,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,Nay,,Nay,1792-12-11,0,,unknown,,,,,unknown
Nay,Nay,Nay,Yea,Yea,Nay,,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,1793-02-04,0,,unknown,,,,,unknown
Nay,Nay,Yea,Yea,Yea,Nay,,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,1793-02-04,0,,unknown,,,,,unknown
Nay,Nay,Nay,Nay,Nay,Yea,,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,1793-02-04,0,,unknown,,,,,unknown
Yea,Yea,Nay,Yea,Nay,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,1793-02-04,0,,unknown,,,,,unknown
Nay,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,1793-02-23,0,,unknown,,,,,unknown
Nay,Not Voting,Nay,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,1793-02-26,0,,unknown,,,,,unknown
Yea,Not Voting,Nay,Yea,Nay,Nay,,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Not Voting,1793-03-02,0,,unknown,,,,,unknown
